drugbank_id,gene_symbol
DB00142,TAT
DB00142,GPT
DB00142,GGCX
DB00142,SLC1A3
DB00142,SLC1A2
DB00142,SLC1A1
DB00142,GCLC
DB00142,SLC1A6
DB00142,GLUD2
DB00142,GMPS
DB00142,BCAT1
DB00142,ABAT
DB00142,GRIN1
DB00142,FPGS
DB00142,ENPEP
DB00142,GRIN2A
DB00142,GRIN2B
DB00142,GRIN2C
DB00142,GIG18
DB00142,EARS2
DB00142,GLULD1
DB00142,NADSYN1
DB00142,CCBL2
DB00142,NAGS
DB00142,AADAT
DB00142,GRIN3A
DB00142,GPT2
DB00142,SLC25A18
DB00142,SLC25A22
DB00142,AASS
DB00142,GLS2
DB00142,DNPEP
DB00142,GRID1
DB00142,SLC7A11
DB00142,PSAT1
DB00142,GLUD1
DB00142,GRIK1
DB00142,GRIA1
DB00142,GCLM
DB00142,FOLH1
DB00142,GAD2
DB00142,GAD1
DB00142,FTCD
DB00142,GRIA2
DB00142,GRIA3
DB00142,GRIA4
DB00142,ALDH18A1
DB00142,GRIK2
DB00142,GRIK3
DB00142,SLC16A1
DB00143,MGST3
DB00143,TXNDC12
DB00143,GSTA1
DB00143,GSTA2
DB00143,MGST1
DB00143,ESD
DB00143,GGT1
DB00143,GSTM2
DB00143,GLRX
DB00143,GPX4
DB00143,GSTM5
DB00143,GPX6
DB00143,HAGH
DB00143,GPX1
DB00143,GPX7
DB00143,MGST2
DB00143,GSTO2
DB00143,GLRX2
DB00143,GLO1
DB00143,LTC4S
DB00143,GSR
DB00143,GSS
DB00143,GSTM1
DB00143,GSTK1
DB00143,GSTA3
DB00143,GSTM3
DB00143,GSTA4
DB00143,GSTM4
DB00143,GSTA5
DB00143,GSTP1
DB00143,GSTO1
DB00143,GPX1
DB00143,GPX2
DB00143,GSTT1
DB00143,GSTZ1
DB00143,GPX5
DB00143,GPX3
DB00143,AKR1B1
DB00143,MMP9
DB00143,CYP3A4
DB00143,GSTA2
DB00143,GSTA1
DB00143,ABCC1
DB00143,ABCC2
DB00143,ABCC3
DB00143,ABCC4
DB00144,DGKG
DB00144,DGKD
DB00144,PTDSS2
DB00144,SMPD4
DB00144,SMPD3
DB00144,ATP8A1
DB00144,PRKCA
DB00144,PTDSS1
DB00144,PISD
DB00144,SCARB1
DB00145,GCAT
DB00145,ALAS1
DB00145,ALAS2
DB00145,GCSH
DB00145,GARS
DB00145,GRIN2A
DB00145,BAAT
DB00145,GPR18
DB00145,GSS
DB00145,GRIN2C
DB00145,GLYAT
DB00145,SLC36A1
DB00145,SHMT2
DB00145,GLYATL2
DB00145,GLYATL1
DB00145,AGXT2
DB00145,SLC32A1
DB00145,PIPOX
DB00145,SLC6A5
DB00145,GRIN3B
DB00145,GLDC
DB00145,SLC6A9
DB00145,GLRA1
DB00145,AGXT
DB00145,GLRB
DB00145,SHMT1
DB00145,GLRA3
DB00145,GLRA2
DB00145,GNMT
DB00145,GATM
DB00146,VDR
DB00146,CYP27B1
DB00146,CYP24A1
DB00147,PDXK
DB00148,CKM
DB00148,CKMT1A
DB00148,CKB
DB00148,CKMT2
DB00148,SLC6A8
DB00148,GAMT
DB00148,SLC22A5
DB00149,LARS2
DB00149,BCAT2
DB00149,BCAT1
DB00149,LCMT2
DB00149,LCMT1
DB00149,LARS
DB00149,SLC16A2
DB00150,WARS2
DB00150,WARS
DB00150,DDC
DB00150,WARS2
DB00150,TPH1
DB00150,TPH2
DB00150,WARS
DB00150,INDO
DB00150,SLC16A2
DB00151,GCLM
DB00151,GCLC
DB00151,GOT1
DB00151,CTH
DB00151,CBS
DB00151,CARS
DB00151,MGMT
DB00151,GSS
DB00151,SLC19A3
DB00151,CARS2
DB00151,CSAD
DB00151,NFS1
DB00151,CDO1
DB00152,TPK1
DB00152,SLC22A5
DB00153,VDR
DB00153,CYP24A1
DB00153,CYP27B1
DB00153,CYP27A1
DB00153,CYP3A4
DB00153,CYP2R1
DB00154,PTGS1
DB00154,PTGS2
DB00154,FABP7
DB00155,ASS1
DB00155,DDAH2
DB00155,ASS1
DB00155,DDAH1
DB00155,OTC
DB00155,NOS1
DB00155,NOS2A
DB00155,NOS3
DB00155,PADI6
DB00155,PADI1
DB00155,PADI3
DB00155,PADI2
DB00155,PADI4
DB00156,THNSL1
DB00156,TARS
DB00156,TARS2
DB00157,UGDH
DB00157,ADH1A
DB00157,SORD
DB00157,ADH4
DB00157,ADH1C
DB00157,ADH1B
DB00157,ADH7
DB00157,GPD1
DB00157,LDHAL6A
DB00157,ADH5
DB00157,AKR1B1
DB00157,HSD17B10
DB00157,MDH2
DB00157,LDHA
DB00157,ME2
DB00157,HSD17B4
DB00157,LDHAL6B
DB00157,LDHC
DB00157,LDHB
DB00157,EHHADH
DB00157,HADH
DB00157,ME3
DB00157,BDH1
DB00157,MDH1
DB00157,HIBADH
DB00157,HSD17B3
DB00157,HMGCR
DB00157,ME1
DB00157,PHGDH
DB00157,HSD17B7
DB00157,IDH3G
DB00157,IDH3B
DB00157,IDH3A
DB00157,HSD17B1
DB00157,HSD17B2
DB00157,RDH5
DB00157,H6PD
DB00157,HSD17B8
DB00157,AKR1C4
DB00157,IMPDH2
DB00157,AKR1C3
DB00157,HPGD
DB00157,TSTA3
DB00157,AKR1C1
DB00157,HSD11B1
DB00157,HSD3B2
DB00157,HSD3B1
DB00157,IMPDH1
DB00157,HADHA
DB00157,ALDH2
DB00157,HSD11B2
DB00157,AKR1C2
DB00157,NSDHL
DB00157,ALDH3B2
DB00157,ALDH6A1
DB00157,ALDH3A1
DB00157,ALDH1A1
DB00157,GAPDHS
DB00157,ALDH9A1
DB00157,ALDH1A3
DB00157,ALDH1B1
DB00157,ALDH3B1
DB00157,GAPDH
DB00157,ALDH1A2
DB00157,ALDH3A2
DB00157,ALDH5A1
DB00157,ALDH7A1
DB00157,BLVRB
DB00157,PYCR2
DB00157,PYCR1
DB00157,GLUD1
DB00157,PDHB
DB00157,PDHA2
DB00157,PDHA1
DB00157,BLVRA
DB00157,ACADS
DB00157,DHFR
DB00157,OGDH
DB00157,GLUD2
DB00157,DHCR7
DB00157,NQO2
DB00157,MT-ND2
DB00157,AASS
DB00157,MT-ND3
DB00157,NDUFS7
DB00157,MTHFD1
DB00157,MTHFD2
DB00157,ALDH4A1
DB00157,CYB5R3
DB00157,NDUFA11
DB00157,MT-ND4
DB00157,QDPR
